API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Sep 21 19:49:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Hubble Space Telescope (spacecraft) (-48) {source: hst}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2003-Feb-02 06:00:00.0000 TDB
Stop  time      : A.D. 2003-Feb-02 14:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452672.799305555, A.D. 2003-Feb-02 07:11:00.0000, -6.703119253160352E-01,  6.571575382210519E-01,  2.849435911304805E-01, -9.252798676401828E-03, -1.329856345917095E-02, -4.769131741318049E-03,
2452672.800000000, A.D. 2003-Feb-02 07:12:00.0000, -6.703183038405357E-01,  6.571483768653557E-01,  2.849402317658835E-01, -9.120011272796349E-03, -1.308442600709794E-02, -4.905733323391594E-03,
2452672.800694444, A.D. 2003-Feb-02 07:13:00.0000, -6.703245956910133E-01,  6.571393676372296E-01,  2.849367778235573E-01, -9.003267311431683E-03, -1.286059355478817E-02, -5.041417205530031E-03,
2452672.801388889, A.D. 2003-Feb-02 07:14:00.0000, -6.703308121863837E-01,  6.571305169382611E-01,  2.849332301434990E-01, -8.903066797778381E-03, -1.262802614229590E-02, -5.175600400386519E-03,
2452672.802083333, A.D. 2003-Feb-02 07:15:00.0000, -6.703369649682774E-01,  6.571218304900663E-01,  2.849295899684728E-01, -8.819838801847937E-03, -1.238772138338343E-02, -5.307706319795129E-03,
2452672.802777778, A.D. 2003-Feb-02 07:16:00.0000, -6.703430659511200E-01,  6.571133133096626E-01,  2.849258589387083E-01, -8.753939596734962E-03, -1.214071022048353E-02, -5.437167246428287E-03,
2452672.803472222, A.D. 2003-Feb-02 07:17:00.0000, -6.703491272710207E-01,  6.571049696878400E-01,  2.849220390848949E-01, -8.705651098291699E-03, -1.188805253308698E-02, -5.563426772567323E-03,
2452672.804166667, A.D. 2003-Feb-02 07:18:00.0000, -6.703551612336853E-01,  6.570968031706285E-01,  2.849181328194971E-01, -8.675179613913247E-03, -1.163083261548789E-02, -5.685942196363846E-03,
2452672.804861111, A.D. 2003-Feb-02 07:19:00.0000, -6.703611802615685E-01,  6.570888165439441E-01,  2.849141429264215E-01, -8.662654907721843E-03, -1.137015454053536E-02, -5.804186865867368E-03,
2452672.805555556, A.D. 2003-Feb-02 07:20:00.0000, -6.703671968404881E-01,  6.570810118214910E-01,  2.849100725490786E-01, -8.668129588678478E-03, -1.110713742691701E-02, -5.917652460945067E-03,
2452672.806250000, A.D. 2003-Feb-02 07:21:00.0000, -6.703732234659270E-01,  6.570733902359751E-01,  2.849059251768820E-01, -8.691578827243418E-03, -1.084291062840850E-02, -6.025851203105668E-03,
2452672.806944444, A.D. 2003-Feb-02 07:22:00.0000, -6.703792725892534E-01,  6.570659522336820E-01,  2.849017046302407E-01, -8.732900405146737E-03, -1.057860886446686E-02, -6.128317983162422E-03,
2452672.807638889, A.D. 2003-Feb-02 07:23:00.0000, -6.703853565640921E-01,  6.570586974724495E-01,  2.848974150441040E-01, -8.791915101599771E-03, -1.031536731248853E-02, -6.224612396652638E-03,
2452672.808333333, A.D. 2003-Feb-02 07:24:00.0000, -6.703914875930798E-01,  6.570516248230565E-01,  2.848930608501273E-01, -8.868367417872962E-03, -1.005431668296500E-02, -6.314320676987796E-03,
2452672.809027778, A.D. 2003-Feb-02 07:25:00.0000, -6.703976776752419E-01,  6.570447323740309E-01,  2.848886467575317E-01, -8.961926640584933E-03, -9.796578299611442E-03, -6.397057516456373E-03,
2452672.809722222, A.D. 2003-Feb-02 07:26:00.0000, -6.704039385542250E-01,  6.570380174398687E-01,  2.848841777327417E-01, -9.072188242301438E-03, -9.543259207281361E-03, -6.472467765452932E-03,
2452672.810416667, A.D. 2003-Feb-02 07:27:00.0000, -6.704102816676173E-01,  6.570314765726301E-01,  2.848796589778866E-01, -9.198675616146764E-03, -9.295447331075358E-03, -6.540228000672349E-03,
2452672.811111111, A.D. 2003-Feb-02 07:28:00.0000, -6.704167180975892E-01,  6.570251055768789E-01,  2.848750959082610E-01, -9.340842139108560E-03, -9.054206710469951E-03, -6.600047953493694E-03,
2452672.811805556, A.D. 2003-Feb-02 07:29:00.0000, -6.704232585230780E-01,  6.570188995278949E-01,  2.848704941288439E-01, -9.498073556599186E-03, -8.820572832503622E-03, -6.651671790386240E-03,
2452672.812500000, A.D. 2003-Feb-02 07:30:00.0000, -6.704299131737392E-01,  6.570128527930893E-01,  2.848658594099848E-01, -9.669690678659552E-03, -8.595548088032917E-03, -6.694879237899893E-03,
2452672.813194444, A.D. 2003-Feb-02 07:31:00.0000, -6.704366917858732E-01,  6.570069590565246E-01,  2.848611976623630E-01, -9.854952375993469E-03, -8.380097374795212E-03, -6.729486545647504E-03,
2452672.813888889, A.D. 2003-Feb-02 07:32:00.0000, -6.704436035605355E-01,  6.570012113464319E-01,  2.848565149113379E-01, -1.005305886184646E-02, -8.175143870469841E-03, -6.755347281638915E-03,
2452672.814583333, A.D. 2003-Feb-02 07:33:00.0000, -6.704506571240190E-01,  6.569956020655984E-01,  2.848518172708087E-01, -1.026315524363592E-02, -7.981564998113680E-03, -6.772352955372663E-03,
2452672.815277778, A.D. 2003-Feb-02 07:34:00.0000, -6.704578604908918E-01,  6.569901230244830E-01,  2.848471109167007E-01, -1.048433532624463E-02, -7.800188605261461E-03, -6.780433465215605E-03,
2452672.815972222, A.D. 2003-Feb-02 07:35:00.0000, -6.704652210297594E-01,  6.569847654769062E-01,  2.848424020602056E-01, -1.071564564704900E-02, -7.631789376637136E-03, -6.779557367785028E-03,
2452672.816666667, A.D. 2003-Feb-02 07:36:00.0000, -6.704727454319008E-01,  6.569795201581446E-01,  2.848376969208966E-01, -1.095608972110795E-02, -7.477085498837588E-03, -6.769731968271409E-03,
2452672.817361111, A.D. 2003-Feb-02 07:37:00.0000, -6.704804396829224E-01,  6.569743773252479E-01,  2.848330016998424E-01, -1.120463247351994E-02, -7.336735593552352E-03, -6.751003231881413E-03,
2452672.818055556, A.D. 2003-Feb-02 07:38:00.0000, -6.704883090375449E-01,  6.569693267993889E-01,  2.848283225528460E-01, -1.146020483479825E-02, -7.211335933900712E-03, -6.723455517817460E-03,
2452672.818750000, A.D. 2003-Feb-02 07:39:00.0000, -6.704963579976331E-01,  6.569643580100443E-01,  2.848236655639266E-01, -1.172170847423480E-02, -7.101417956342539E-03, -6.687211138419859E-03,
2452672.819444444, A.D. 2003-Feb-02 07:40:00.0000, -6.705045902935520E-01,  6.569594600407954E-01,  2.848190367191690E-01, -1.198802064564088E-02, -7.007446078389766E-03, -6.642429747258242E-03,
2452672.820138889, A.D. 2003-Feb-02 07:41:00.0000, -6.705130088689205E-01,  6.569546216765383E-01,  2.848144418810529E-01, -1.225799911956940E-02, -6.929815830057341E-03, -6.589307561050815E-03,
2452672.820833333, A.D. 2003-Feb-02 07:42:00.0000, -6.705216158688129E-01,  6.569498314518780E-01,  2.848098867633788E-01, -1.253048717614382E-02, -6.868852304690035E-03, -6.528076421293421E-03,
2452672.821527778, A.D. 2003-Feb-02 07:43:00.0000, -6.705304126314404E-01,  6.569450777004874E-01,  2.848053769068985E-01, -1.280431863292391E-02, -6.824808932531306E-03, -6.459002702380690E-03,
2452672.822222222, A.D. 2003-Feb-02 07:44:00.0000, -6.705393996833310E-01,  6.569403486052051E-01,  2.848009176557529E-01, -1.307832288281745E-02, -6.797866578203999E-03, -6.382386073784925E-03,
2452672.822916667, A.D. 2003-Feb-02 07:45:00.0000, -6.705485767380027E-01,  6.569356322486477E-01,  2.847965141348180E-01, -1.335132991787385E-02, -6.788132961190535E-03, -6.298558124514317E-03,
2452672.823611111, A.D. 2003-Feb-02 07:46:00.0000, -6.705579426981159E-01,  6.569309166641131E-01,  2.847921712280512E-01, -1.362217531582887E-02, -6.795642396469240E-03, -6.207880858597773E-03,
2452672.824305556, A.D. 2003-Feb-02 07:47:00.0000, -6.705674956610683E-01,  6.569261898865528E-01,  2.847878935579231E-01, -1.388970516749125E-02, -6.820355850710543E-03, -6.110745070731615E-03,
2452672.825000000, A.D. 2003-Feb-02 07:48:00.0000, -6.705772329279861E-01,  6.569214400034004E-01,  2.847836854660176E-01, -1.415278092440638E-02, -6.862161307888312E-03, -6.007568611482376E-03,
